"checking_account","duration_months","credit_history","purpose","credit_amount","savings","present_employment_since","installment_rate","personal_status_sex","other_deptors","present_residence","property","age_years","other_installment_plans","housing","existing_credits","job","people_liable_maintenance","telephone","foreign_worker","response"
"No checking account",18,"existing credits paid back duly till now","furniture/equipment",2515,"... <  51 euro","1  <= ... < 4 years",3,"male   : single","none",4,"real estate",43,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",21,"critical account/other credits existing (not at this bank)","furniture/equipment",2745,".. >= 511 euro","4  <= ... < 7 years",3,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",32,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",6,"existing credits paid back duly till now","car (new)",672,"... <  51 euro","unemployed",1,"female : divorced/separated/married","none",4,"real estate",54,"none","own",1,"unemployed/ unskilled  - non-resident",1,"yes, registered under the customers name","yes","0"
"0 <= ... <  102 euro",36,"no credits taken/ all credits paid back duly","radio/television",3804,"... <  51 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","none",1,"(if not optin 1 or 2) car or other, not in attribute",42,"none","own",1,"skilled employee / official",1,"yes, registered under the customers name","yes","1"
">= 102 euro",24,"critical account/other credits existing (not at this bank)","car (new)",1344,"unknown/ no savings account","4  <= ... < 7 years",4,"male   : single","none",2,"real estate",37,"bank","own",2,"unskilled - resident",2,"none","yes","1"
"... <  0 euro",10,"critical account/other credits existing (not at this bank)","car (new)",1038,"... <  51 euro","4  <= ... < 7 years",4,"male   : single","co-applicant",3,"(if not real estate) building society savings agreement/ life insurance",49,"none","own",2,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",48,"critical account/other credits existing (not at this bank)","car (new)",10127,"255 euro <= ... < 511 euro","1  <= ... < 4 years",2,"male   : single","none",2,"unknown / no property",44,"bank","for free",1,"skilled employee / official",1,"none","yes","1"
"No checking account",6,"existing credits paid back duly till now","furniture/equipment",1543,".. >= 511 euro","1  <= ... < 4 years",4,"male   : divorced/separated","none",2,"real estate",33,"none","own",1,"skilled employee / official",1,"none","yes","0"
"No checking account",30,"existing credits paid back duly till now","car (used)",4811,"unknown/ no savings account","4  <= ... < 7 years",2,"female : divorced/separated/married","none",4,"(if not real estate) building society savings agreement/ life insurance",24,"stores","rent",1,"unskilled - resident",1,"none","yes","0"
"... <  0 euro",12,"existing credits paid back duly till now","radio/television",727,"51 <= ... <  255 euro","... < 1 year",4,"male   : married/widowed","none",3,"unknown / no property",33,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","1"
"0 <= ... <  102 euro",8,"existing credits paid back duly till now","furniture/equipment",1237,"... <  51 euro","1  <= ... < 4 years",3,"female : divorced/separated/married","none",4,"real estate",24,"none","own",1,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",9,"existing credits paid back duly till now","car (new)",276,"... <  51 euro","1  <= ... < 4 years",4,"male   : married/widowed","none",4,"real estate",22,"none","rent",1,"unskilled - resident",1,"none","yes","0"
"0 <= ... <  102 euro",48,"existing credits paid back duly till now","others",5381,"unknown/ no savings account","unemployed",3,"male   : single","none",4,"unknown / no property",40,"bank","for free",1,"unemployed/ unskilled  - non-resident",1,"yes, registered under the customers name","yes","0"
"No checking account",24,"existing credits paid back duly till now","furniture/equipment",5511,"51 <= ... <  255 euro","1  <= ... < 4 years",4,"male   : single","none",1,"(if not optin 1 or 2) car or other, not in attribute",25,"stores","own",1,"skilled employee / official",1,"none","yes","0"
">= 102 euro",24,"existing credits paid back duly till now","furniture/equipment",3749,"... <  51 euro","... < 1 year",2,"female : divorced/separated/married","none",4,"(if not optin 1 or 2) car or other, not in attribute",26,"none","own",1,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",12,"existing credits paid back duly till now","car (new)",685,"... <  51 euro","4  <= ... < 7 years",2,"male   : married/widowed","none",3,"(if not optin 1 or 2) car or other, not in attribute",25,"bank","own",1,"unskilled - resident",1,"none","yes","1"
">= 102 euro",4,"existing credits paid back duly till now","car (new)",1494,"unknown/ no savings account","... < 1 year",1,"male   : single","none",2,"real estate",29,"none","own",1,"unskilled - resident",2,"none","no","0"
"... <  0 euro",36,"all credits at this bank paid back duly","furniture/equipment",2746,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",31,"bank","own",1,"skilled employee / official",1,"none","yes","1"
"... <  0 euro",12,"existing credits paid back duly till now","furniture/equipment",708,"... <  51 euro","1  <= ... < 4 years",2,"male   : single","guarantor",3,"(if not real estate) building society savings agreement/ life insurance",38,"none","own",1,"unskilled - resident",2,"none","yes","0"
"0 <= ... <  102 euro",24,"existing credits paid back duly till now","furniture/equipment",4351,"unknown/ no savings account","1  <= ... < 4 years",1,"female : divorced/separated/married","none",4,"(if not real estate) building society savings agreement/ life insurance",48,"none","own",1,"unskilled - resident",1,"yes, registered under the customers name","yes","0"
"No checking account",12,"critical account/other credits existing (not at this bank)","education",701,"... <  51 euro","1  <= ... < 4 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",32,"none","own",2,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",15,"delay in paying off in the past","furniture/equipment",3643,"... <  51 euro",".. >= 7 years",1,"female : divorced/separated/married","none",4,"(if not real estate) building society savings agreement/ life insurance",27,"none","own",2,"unskilled - resident",1,"none","yes","0"
"0 <= ... <  102 euro",30,"critical account/other credits existing (not at this bank)","car (new)",4249,"... <  51 euro","unemployed",4,"male   : married/widowed","none",2,"(if not optin 1 or 2) car or other, not in attribute",28,"none","own",2,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","1"
"... <  0 euro",24,"existing credits paid back duly till now","radio/television",1938,"... <  51 euro","... < 1 year",4,"male   : divorced/separated","none",3,"(if not real estate) building society savings agreement/ life insurance",32,"none","own",1,"skilled employee / official",1,"none","yes","1"
"... <  0 euro",24,"existing credits paid back duly till now","car (used)",2910,"... <  51 euro","4  <= ... < 7 years",2,"male   : single","none",1,"unknown / no property",34,"none","for free",1,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"... <  0 euro",18,"existing credits paid back duly till now","furniture/equipment",2659,".. >= 511 euro","1  <= ... < 4 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",28,"none","own",1,"skilled employee / official",1,"none","yes","0"
"No checking account",18,"critical account/other credits existing (not at this bank)","car (new)",1028,"... <  51 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","none",3,"real estate",36,"none","own",2,"skilled employee / official",1,"none","yes","0"
"... <  0 euro",8,"critical account/other credits existing (not at this bank)","car (new)",3398,"... <  51 euro","4  <= ... < 7 years",1,"male   : single","none",4,"real estate",39,"none","own",2,"unskilled - resident",1,"none","no","0"
"No checking account",12,"critical account/other credits existing (not at this bank)","furniture/equipment",5801,"unknown/ no savings account",".. >= 7 years",2,"male   : single","none",4,"(if not real estate) building society savings agreement/ life insurance",49,"none","rent",1,"skilled employee / official",1,"yes, registered under the customers name","yes","0"
"No checking account",24,"existing credits paid back duly till now","car (new)",1525,".. >= 511 euro","4  <= ... < 7 years",4,"female : divorced/separated/married","none",3,"(if not optin 1 or 2) car or other, not in attribute",34,"none","own",1,"skilled employee / official",2,"yes, registered under the customers name","yes","0"
">= 102 euro",36,"existing credits paid back duly till now","radio/television",4473,"... <  51 euro",".. >= 7 years",4,"male   : single","none",2,"(if not optin 1 or 2) car or other, not in attribute",31,"none","own",1,"skilled employee / official",1,"none","yes","0"
"0 <= ... <  102 euro",6,"existing credits paid back duly till now","radio/television",1068,"... <  51 euro",".. >= 7 years",4,"male   : single","none",4,"(if not optin 1 or 2) car or other, not in attribute",28,"none","own",1,"skilled employee / official",2,"none","yes","0"
"... <  0 euro",24,"critical account/other credits existing (not at this bank)","car (used)",6615,"... <  51 euro","unemployed",2,"male   : single","none",4,"unknown / no property",75,"none","for free",2,"management/ self-employed/highly qualified employee/ officer",1,"yes, registered under the customers name","yes","0"
"No checking account",18,"critical account/other credits existing (not at this bank)","education",1864,"51 <= ... <  255 euro","1  <= ... < 4 years",4,"female : divorced/separated/married","none",2,"real estate",30,"none","own",2,"skilled employee / official",1,"none","yes","1"
"0 <= ... <  102 euro",60,"existing credits paid back duly till now","car (new)",7408,"51 <= ... <  255 euro","... < 1 year",4,"female : divorced/separated/married","none",2,"(if not real estate) building society savings agreement/ life insurance",24,"none","own",1,"management/ self-employed/highly qualified employee/ officer",1,"none","yes","1"
